step,ppl,gN,bleu
100,584.85,16.24,0
200,267.45,12.68,0
300,180.6,12.11,0
400,150.56,10.72,0
500,134.35,10.9,0
600,126.61,10.83,1.03
700,115.77,9.75,1.03
800,109.31,9.63,1.03
900,102.78,9.17,1.03
1000,96.08,8.45,1.03
1100,91.5,9.28,1.03
1200,83.77,7.58,1.03
1300,80.39,8.48,1.03
1400,79.96,8.65,1.03
1500,77.12,8.52,1.03
1600,75.14,8.78,1.11
1700,74.23,8.62,1.11
1800,73.12,8.19,1.11
1900,72.4,8.96,1.11
2000,70.15,7.34,1.11
2100,68.01,10.53,1.44
2200,59.08,7.87,1.44
2300,60.46,10.41,1.44
2400,57.41,7.2,1.44
2500,57.43,9.66,1.44
2600,62,9.93,1.88
2700,58.08,7.34,1.88
2800,56.35,7.47,1.88
2900,55.58,10.35,1.88
3000,54.24,7.91,1.88
3100,52.99,7.95,2.36
3200,48.01,9.9,2.36
3300,46.41,10.52,2.36
3400,45.7,7.74,2.36
3500,46.15,9.66,2.36
3600,45.71,10.88,2.56
3700,45.3,9,2.56
3800,45.01,10.62,2.56
3900,43.79,8.87,2.56
4000,44.37,7.69,2.56
4100,43.2,9.59,2.97
4200,41,10.8,2.97
4300,37.2,8.98,2.97
4400,37.54,8.86,2.97
4500,36.52,9.67,2.97
4600,36.43,6.99,3.38
4700,37.47,9.83,3.38
4800,37.32,11.76,3.38
4900,37.13,10.05,3.38
5000,36.78,10.18,3.38
5100,35.84,9.08,3.83
5200,36.3,6.72,3.83
5300,31.93,9.85,3.83
5400,29.99,7.98,3.83
5500,31.16,12.27,3.83
5600,31.12,8.76,3.83
5700,30.76,10.2,3.83
5800,31.01,11.04,3.83
5900,30.79,8.94,3.83
6000,30.71,8.17,3.83
6100,30.7,9.37,4.19
6200,30.65,10.94,4.19
6300,27.87,7.93,4.19
6400,25.74,12.22,4.19
6500,26.34,11.51,4.19
6600,25.91,9.7,4.26
6700,25.89,10.6,4.26
6800,26.11,11.46,4.26
6900,26.21,7.96,4.26
7000,25.95,9.39,4.26
7100,26.05,8.71,4.56
7200,26.38,10.31,4.56
7300,26.05,9.71,4.56
7400,22.09,14.58,4.56
7500,21.99,10.18,4.56
7600,21.8,9.29,4.86
7700,22.42,9.24,4.86
7800,23.13,12.32,4.86
7900,22.48,9.7,4.86
8000,22.43,10.5,4.86
8100,22.69,10.4,4.86
8100,20.03,12.06,4.82
8200,19.8,8.64,4.82
8300,20.02,10.22,4.82
8400,20.11,9.32,4.82
8500,20.87,12.63,4.82
8600,20.39,8.17,5.14
8700,20.76,10.72,5.14
8800,20.79,11.25,5.14
8900,21.03,10.3,5.14
9000,21.11,11.45,5.14
9100,18.82,10.59,5.35
9200,17.21,9.56,5.35
9300,17.55,14.04,5.35
9400,17.65,7.37,5.35
9500,18.49,12.35,5.35
9600,17.93,10.89,5.35
9700,18.04,10.05,5.35
9800,18.33,10.85,5.35
9900,18.48,13.74,5.35
10000,18.33,9.72,5.35
10100,18.27,12.22,5.45
10200,15.09,8.52,5.45
10300,14.99,9.02,5.45
10400,15.56,11.1,5.45
10500,15.87,12.32,5.45
10600,15.89,9.99,5.55
10700,16.49,11.93,5.55
10800,16.36,9.4,5.55
10900,16.47,16.03,5.55
11000,16.42,11.18,5.55
11100,16.56,11.38,5.67
11200,14.32,14.09,5.67
11300,13.51,11.15,5.67
11400,13.58,7.56,5.67
11500,14.45,11.83,5.67
11600,14.42,12.54,5.67
11700,14.51,13.22,5.67
11800,14.4,8.42,5.67
11900,15.02,15.01,5.67
12000,14.93,8.68,5.67
12100,14.73,12.13,5.68
12200,14.13,9.42,5.68
12300,12.43,12.48,5.68
12400,12.4,12.61,5.68
12500,12.77,13.44,5.68
12600,12.74,10.83,5.83
12700,13.07,10.14,5.83
12800,13.14,11.37,5.83
12900,13.29,12.07,5.83
13000,13.39,11.21,5.83
13100,13.68,14.5,5.83
13200,13.82,13.32,5.83
13300,11.53,11.66,5.83
13400,11.27,11.65,5.83
13500,11.54,10.26,5.83
13600,11.57,10.06,5.87
13700,11.83,10.69,5.87
13800,11.91,10.87,5.87
13900,12.22,12.17,5.87
14000,12.34,15.34,5.87
14100,12.34,11.07,5.99
14200,12.56,11.54,5.99
14300,11.43,12.34,5.99
14400,10.14,13.32,5.99
14500,10.47,10.01,5.99
14600,10.66,14.47,5.99
14700,10.78,10.62,5.99
14800,10.87,13.17,5.99
14900,11.27,13.55,5.99
15000,11.07,9,5.99
15100,10.92,10.5,5.99
15200,10.9,8.73,5.99
15300,10.78,8.6,5.99
15400,9,12.25,5.99
15500,9.03,13.98,5.99
15600,9.01,7.93,6.13
15700,9.18,9.62,6.13
15800,9.31,16.97,6.13
15900,9.25,9.58,6.13
16000,9.23,8.8,6.13
16100,9.35,10.37,6.13
16200,9.43,9.47,6.13
16300,9.45,8.86,6.13
16400,8.83,19.48,6.13
16500,8.33,11.11,6.13
16600,8.63,13.68,6.13
16700,8.66,9.62,6.13
16800,8.62,8.26,6.13
16900,8.58,8.58,6.13
17000,8.66,8.42,6.13
17100,8.54,8.18,6.19
17200,8.58,8.65,6.19
17300,8.61,9.88,6.19
17400,8.49,8.53,6.19
17500,7.88,9.32,6.19
17600,7.96,8.94,6.2
17700,7.91,9.04,6.2
17800,8.03,12.8,6.2
17900,8.1,9.23,6.2
18000,8.07,11.63,6.2
18100,8.14,11.55,6.23
18200,8.23,8.71,6.23
18300,8.21,9.51,6.23
18400,8.27,9.87,6.23
18500,7.72,8.27,6.23
18600,7.66,8.49,6.3
18700,7.68,8.3,6.3
18800,7.67,8.52,6.3
18900,7.64,9.04,6.3
19000,7.69,8.76,6.3
19100,7.68,9.17,6.3
19200,7.77,8.71,6.3
19300,7.67,9.27,6.3
19400,7.81,9.2,6.3
19500,7.69,8.62,6.3
19600,7.45,8.69,6.37
19700,7.52,9.14,6.37
19800,7.56,9.16,6.37
19900,7.48,8.28,6.37
20000,7.55,8.95,6.37
