step,ppl,gN,bleu
100,583.6,15.84,0
200,261.84,12.24,0
300,180.8,11.25,0
400,147.54,9.75,0
500,133.82,10.29,0
600,123.59,8.45,0.95
700,113.05,8.19,0.95
800,105.46,9,0.95
900,100.19,9.02,0.95
1000,95.25,9.41,0.95
1100,86.01,9.84,1.16
1200,81.25,8.65,1.16
1300,80.88,9.42,1.16
1400,76.14,6.93,1.16
1500,75.28,9.67,1.16
1600,74.31,8.27,1.3
1700,71.16,8.94,1.3
1800,68.69,9.71,1.3
1900,67.35,8.17,1.3
2000,67.02,8.99,1.3
2100,63.25,8.78,1.7
2200,56.77,8.73,1.7
2300,56.38,7.96,1.7
2400,55.64,9.84,1.7
2500,55.16,10.18,1.7
2600,53.39,9.22,2.22
2700,53.28,7.41,2.22
2800,53.58,8.99,2.22
2900,51.05,7.63,2.22
3000,50.5,9.23,2.22
3100,50.72,9.3,2.25
3200,45.4,10.77,2.66
3300,42.39,7.52,2.66
3400,43.57,7.84,2.66
3500,43.29,8.47,2.66
3600,43.34,7.63,3.16
3700,42.51,9.28,3.16
3800,41.6,9.09,3.16
3900,41.89,10.64,3.16
4000,40.85,8.41,3.16
4100,40.19,8.48,3.38
4200,37.83,9.62,3.47
4300,33.89,9.04,3.47
4400,34.59,8.44,3.47
4500,34.02,9.99,3.47
4600,34.02,9.19,3.78
4700,34.76,9.56,3.78
4800,34.09,10.45,3.78
4900,34.4,8.55,3.78
5000,34.13,9.14,3.78
5100,34.19,9.6,3.82
5200,33.31,7.78,3.82
5300,28.52,9.67,4.04
5400,27.57,8.71,4.04
5500,29.04,11.51,4.04
5600,28.74,8.98,4.04
5700,28.17,8.82,4.04
5800,27.95,8.21,4.04
5900,28.46,9.43,4.04
6000,28.69,11.23,4.04
6100,28.44,8.21,4.6
6200,28.07,9.43,4.6
6300,26.34,11.02,4.67
6400,23.14,9.91,4.67
6500,23.73,10.08,4.67
6600,23.95,12.46,4.67
6700,24.21,9.51,4.67
6800,23.99,10.04,4.67
6900,24.51,11.45,4.67
7000,24.12,7.3,4.67
7100,24.29,10.39,4.9
7200,24,10.68,4.9
7300,24.14,8.04,4.9
7400,20.54,14.55,4.93
7500,19.7,7.08,4.93
7600,20.32,9.68,4.93
7700,20.56,9.33,4.93
7800,20.63,9.24,4.93
7900,20.81,10.88,4.93
8000,21.64,10.25,4.93
8100,20.72,8.97,5.06
8200,21.99,9.16,5.06
8300,21.57,8.94,5.06
8400,18.83,11.47,5.06
8500,17.2,8.25,5.06
8600,17.79,11.5,5.06
8700,17.88,10.83,5.06
8800,18.25,12.9,5.06
8900,18.26,8.41,5.06
9000,18.37,10.14,5.06
9100,18.64,11.75,5.21
9200,18.63,9.07,5.21
9300,19.05,9.64,5.21
9400,18.31,10.48,5.32
9500,15.07,10.14,5.32
9600,15.35,10.66,5.52
9700,15.65,8.48,5.52
9800,15.94,13.54,5.52
9900,16.21,10.94,5.52
10000,16.15,11.09,5.52
10100,16.67,10.13,5.52
10200,16.46,8.45,5.52
10300,16.45,8.52,5.52
10400,16.84,9.1,5.52
10500,14.15,14.79,5.52
10600,13.6,10.27,5.62
10700,13.93,11.51,5.62
10800,14.18,12.19,5.62
10900,14.5,12.33,5.62
11000,14.19,10.46,5.62
11100,14.77,13.57,5.7
11200,14.94,10.14,5.7
11300,14.61,9.77,5.7
11400,15.16,12.48,5.7
11500,14.2,12.92,5.7
11600,12.15,12.39,5.96
11700,12.19,9.24,5.96
11800,12.55,9.61,5.96
11900,13.1,13.98,5.96
12000,13.04,13.98,5.96
12100,13.29,11.72,5.96
12200,13.27,10.73,5.96
12300,13.47,11.17,5.96
12400,13.65,9.05,5.96
12500,13.73,12.52,5.96
12600,11.41,12.86,5.96
12700,11,11.07,5.96
12800,11.54,11.47,5.96
12900,11.56,11.91,5.96
13000,11.71,13.69,5.96
13100,12.03,13.32,5.96
13200,12.18,13.45,5.96
13300,12.25,13.91,5.96
13400,12.39,12.99,5.96
13500,12.51,14.09,5.96
13600,11.46,11.32,5.96
13700,10.12,10.47,5.96
13800,10.42,10.23,5.96
13900,10.53,11.05,5.96
14000,10.71,11.68,5.96
14100,10.99,17.3,5.96
14200,11.07,11.73,5.96
14300,11.24,13.41,5.96
14400,11.13,9.69,5.96
14500,11.52,12.09,5.96
14600,11.48,14.61,5.96
14700,9.36,12.69,6.12
14800,9.56,14.18,6.12
14900,9.77,9.87,6.12
15000,9.98,14.55,6.12
15100,9.61,9.57,6.12
15200,9.6,8.66,6.12
15300,9.51,8.86,6.12
15400,9.53,9.65,6.12
15500,9.67,10.27,6.12
15600,9.68,9.89,6.12
15700,8.77,8.77,6.12
15800,8.27,16.16,6.12
15900,8.3,9.69,6.12
16000,8.42,12.25,6.12
16100,8.49,9.96,6.12
16200,8.51,11.22,6.12
16300,8.61,13.17,6.12
16400,8.71,13.82,6.12
16500,8.67,9.6,6.12
16600,8.77,12.58,6.12
16700,8.71,12.9,6.12
16800,7.66,8.5,6.12
16900,7.59,8.67,6.12
17000,7.66,8.64,6.12
17100,7.65,9,6.12
17200,7.79,9.61,6.12
17300,7.83,9.15,6.12
17400,7.78,9.08,6.12
17500,7.79,9.13,6.12
17600,7.83,9.86,6.12
17700,7.92,9.91,6.12
17800,7.54,8.84,6.15
17900,7.26,10.59,6.15
18000,7.47,9.56,6.15
18100,7.46,9.05,6.15
18200,7.59,9.89,6.15
18300,7.51,9.93,6.15
18400,7.5,9.49,6.15
18500,7.52,8.94,6.15
18600,7.59,8.93,6.15
18700,7.51,8.71,6.15
