step,ppl,gN,bleu
100,574.88,15.69,0
200,256.11,12.34,0
300,178.84,13.08,0
400,146.47,9.99,0
500,133,8.98,0
600,121.24,9.71,0.89
700,117.63,8.64,0.89
800,106.47,8.53,0.89
900,104.87,7.57,0.89
1000,98.28,7.28,0.89
1100,90.12,16.28,1.06
1200,86.15,8.04,1.06
1300,83.61,8.03,1.06
1400,85.22,9.04,1.06
1500,80.92,7.07,1.06
1600,79.2,8.4,1.06
1700,75.56,7.22,1.06
1800,75.12,7.61,1.06
1900,74.04,7.95,1.06
2000,71.97,7.69,1.06
2100,68.91,8.37,1.06
2200,63,8.3,1.06
2300,61.05,6.42,1.06
2400,61.44,9.45,1.06
2500,59.8,7.47,1.06
2600,60.65,8.09,1.22
2700,59.21,7.8,1.22
2800,58.51,8,1.22
2900,58.22,6.48,1.22
3000,55.91,6.93,1.22
3100,55.7,8.14,1.8
3200,49.64,9.32,1.8
3300,47.82,7.82,1.8
3400,47.87,9.01,1.8
3500,48.83,9.42,1.8
3600,46.88,6.26,1.9
3700,47.37,9.04,1.9
3800,45.94,7.15,1.9
3900,46.82,7.77,1.9
4000,45.5,8.17,1.9
4100,45.19,7.24,2.23
4200,42.67,9.96,2.23
4300,38.09,7.41,2.23
4400,38.8,9.01,2.23
4500,39.3,8.87,2.23
4600,38.41,8.27,2.59
4700,38.08,9.02,2.59
4800,38.17,8.69,2.59
4900,37.78,6,2.59
5000,37.12,7.79,2.59
5100,37.95,9.76,2.9
5200,37.57,7.1,2.9
5300,31.99,9.37,2.9
5400,31.4,7.52,2.9
5500,32.04,9.71,2.9
5600,32.87,8.59,3.44
5700,31.42,6.79,3.44
5800,31.78,8.66,3.44
5900,31.76,10.56,3.44
6000,31.95,8.53,3.44
6100,32.21,8.54,3.72
6200,31.35,10.4,3.72
6300,28.92,6.84,3.72
6400,25.86,7.45,3.72
6500,26.32,8.74,3.72
6600,26.88,10.3,3.93
6700,27.19,9.9,3.93
6800,26.8,8.28,3.93
6900,27.4,9.02,3.93
7000,27.37,9.48,3.93
7100,26.74,7.81,4.25
7200,27.92,12.54,4.25
7300,27.1,8.3,4.25
7400,22.7,8.9,4.25
7500,22.48,7.34,4.25
7600,22.72,8.47,4.27
7700,22.92,9.01,4.27
7800,23.5,10.77,4.27
7900,23.34,8.85,4.27
8000,23.52,9.38,4.27
8100,23.48,9.44,4.27
8200,24.31,8.99,4.27
8300,23.9,8.3,4.27
8400,21.2,10.39,4.27
8500,19.51,9.7,4.27
8600,19.5,7.2,4.53
8700,20.26,9.52,4.53
8800,20.13,10.78,4.53
8900,20.06,8.5,4.53
9000,20.42,10,4.53
9100,21.05,11.55,4.65
9200,20.75,8.45,4.65
9300,21.23,10.72,4.65
9400,20.43,8.38,4.65
9500,17.21,11.51,4.65
9600,17.22,7.74,4.65
9700,17.6,10.25,4.65
9800,17.59,8.97,4.65
9900,17.92,10.23,4.65
10000,18.63,12.77,4.65
10100,18.54,9.65,4.95
10200,18.37,8.45,4.95
10300,18.35,9.33,4.95
10400,18.66,8.67,4.95
10500,15.71,7.89,4.95
10600,15.68,10.13,5.09
10700,15.51,10.22,5.09
10800,15.96,12.15,5.09
10900,15.9,9.68,5.09
11000,16.17,10.24,5.09
11100,16.36,10.6,5.28
11200,16.86,13.74,5.28
11300,16.4,8.07,5.28
11400,16.76,8.59,5.28
11500,15.51,8.2,5.28
11600,13.7,11.8,5.28
11700,14.32,11.62,5.28
11800,14.15,11.21,5.28
11900,14.27,8.31,5.28
12000,14.73,11.41,5.28
12100,14.57,9.15,5.28
12200,14.76,9.45,5.28
12300,14.77,11.04,5.28
12400,15.15,12.16,5.28
12500,15.18,9.04,5.28
12600,12.7,12.2,5.28
12700,12.45,10.7,5.28
12800,12.7,8.69,5.28
12900,12.98,11.21,5.28
13000,13.15,7.91,5.28
13100,13.78,11.58,5.31
13200,13.44,11.11,5.31
13300,13.76,11.58,5.31
13400,13.8,13.6,5.31
13500,13.82,10.45,5.31
13600,12.71,11.95,5.38
13700,11.44,11.42,5.38
13800,11.66,11.58,5.38
13900,11.63,8.91,5.38
14000,11.98,11.09,5.38
14100,12.25,11.14,5.4
14200,12.11,10.06,5.4
14300,12.34,8.99,5.4
14400,12.91,13.11,5.4
14500,13.29,8.86,5.4
14600,12.64,8.92,5.4
14700,10.54,10.58,5.4
14800,10.57,10.14,5.4
14900,10.94,13,5.4
15000,10.92,9.76,5.4
15100,11.25,11.36,5.4
15200,11.22,10.89,5.4
15300,11.6,14.39,5.4
15400,11.5,10.92,5.4
15500,11.78,11.4,5.4
15600,11.75,11.99,5.4
15700,10.6,12.9,5.4
15800,9.81,9.01,5.4
15900,9.77,10.49,5.4
16000,10.13,10.46,5.4
16100,10.36,14.5,5.4
16200,10.54,10.67,5.4
16300,10.49,11.74,5.4
16400,10.76,12.52,5.4
16500,10.78,9.25,5.4
16600,11.02,12.4,5.58
16700,10.72,9.2,5.58
16800,8.95,12.34,5.58
16900,9.25,13.52,5.58
17000,9.43,11.59,5.58
17100,9.56,12.49,5.58
17200,9.83,13.55,5.58
17300,9.76,9.57,5.58
17400,10.05,14.01,5.58
17500,9.94,12.77,5.58
17600,10.24,12.02,5.69
17700,10.19,10.49,5.69
17800,8.89,12.05,5.69
17900,8.44,9.29,5.69
18000,8.64,11.35,5.69
18100,8.95,12.65,5.69
18200,9.03,9.94,5.69
18300,8.99,10.01,5.69
18400,9.4,12.72,5.69
18500,9.42,11.89,5.69
18600,9.7,15.24,5.69
18700,9.58,9.68,5.69
18800,9.11,10.69,5.69
18900,8.04,15.76,5.69
19000,8.27,13.42,5.69
19100,8.22,9.92,5.69
19200,8.44,13.66,5.69
19300,8.54,9.84,5.69
19400,8.82,14.1,5.69
19500,8.89,10.53,5.69
19600,8.82,9.42,5.69
19700,8.98,12.24,5.69
19800,9.38,15.9,5.69
19900,7.66,12.3,5.69
20000,7.52,10.16,5.69
20100,7.82,16.08,5.69
20200,8.07,14.2,5.69
20300,8.24,13.98,5.69
20400,8.24,12.49,5.69
20500,8.39,11.39,5.69
20600,8.36,10.29,5.69
20700,8.49,11.1,5.69
20800,8.61,14.69,5.69
20900,7.94,9.3,5.69
21000,7.23,13.72,5.69
21100,7.42,12.33,5.69
21200,7.53,12.22,5.69
21300,7.61,11.95,5.69
21400,7.88,14.79,5.69
21500,7.93,13.08,5.69
21600,8.01,13.76,5.69
21700,8.09,9.78,5.69
21800,8.11,10.17,5.69
21900,8.17,11.32,5.69
22000,7.09,14.27,5.69
22100,6.9,10.1,5.71
22200,7.22,12.82,5.71
22300,7.1,11.65,5.71
22400,7.53,15.28,5.71
22500,7.51,16.02,5.71
22600,7.24,9.01,5.71
22700,7.21,9.16,5.71
22800,7.27,9.49,5.71
22900,7.22,9.14,5.71
23000,6.5,9.12,5.71
23100,6.17,10.04,5.71
23200,6.22,9.3,5.71
23300,6.22,10.45,5.71
23400,6.3,10.96,5.71
23500,6.37,12.59,5.71
23600,6.39,11.49,5.72
23700,6.5,10.04,5.72
23800,6.53,10.03,5.72
23900,6.6,17.45,5.72
24000,6.52,12.61,5.72
24100,5.92,10.63,5.72
24200,5.93,10.07,5.72
24300,5.97,9.94,5.72
24400,6.01,10.28,5.72
24500,6.15,10.14,5.72
24600,6.14,11.4,5.72
24700,6.3,13.28,5.72
24800,6.37,14.83,5.72
24900,6.31,12.81,5.72
25000,6.4,10.86,5.72
